Unknown BHRC,Un. PGA(cm/s/s),Latitude,Longitude,Epicentral Distance_x,MW_x,Epicentral Distance_y,MW_y,Depth,Effective duration (s) L,Effective duration (s)  V,Effective duration (s)  T,Vs30 (m/s),Fault Type_SS,Observed horizontal peak ground acceleration
19,63,34.49,45.74,22,4.8,19,4.6,22,2.17,4.61,1.67,891.0,0,54
19,21,34.5,45.78,19,4.4,21,5.1,10,11.6,6.62,10.42,784.5901639344262,1,21
7,207,34.81,45.91,53,7.3,70,5.1,10,14.15,17.13,13.55,514.0,0,12
1,60,27.76,57.1,40,5.4,16,5.4,16,5.46,7.33,2.97,582.0,1,200
2,11,37.92,47.1,25,4.6,35,5.1,9,8.53913580246914,10.849135802469135,8.820740740740739,971.0,1,86
1,13,37.58,57.15,31,4.4,17,4.5,20,8.68,8.54,8.77,784.5901639344262,1,22
1,31,30.75,57.39,26,4.9,49,5.9,18,15.13,16.14,14.87,567.0,0,65
2,0,27.95,54.07,52,4.7,53,5.1,7,8.53913580246914,10.849135802469135,8.820740740740739,881.0,0,78
1,72,32.7,58.99,13,4.1,52,5.9,20,21.29,28.79,20.4,1196.0,1,33
1,37,29.08,51.73,28,5.0,66,5.7,14,23.18,34.97,33.87,516.0,1,22
1,15,37.9,47.09,47,5.1,10,4.3,10,8.53913580246914,10.849135802469135,8.820740740740739,921.0,1,50
2,11,31.9,50.69,20,4.5,2,4.4,16,3.0,6.38,5.66,784.5901639344262,1,107
1,97,34.22,48.48,10,4.7,17,5.6,7,3.88,5.64,3.15,759.0,0,476
1,6,30.09,57.62,60,5.3,45,5.8,18,20.98,24.17,22.25,450.0,0,59
1,12,35.81,60.54,38,4.8,33,4.9,20,7.05,10.85,8.41,784.5901639344262,0,35
4,34,35.89,60.37,52,6.1,83,6.5,5,8.53913580246914,10.849135802469135,8.820740740740739,784.5901639344262,1,77
2,1,29.67,51.5,54,4.2,36,5.4,12,8.53913580246914,10.849135802469135,8.820740740740739,617.0,0,22
1,2,29.65,51.53,56,4.3,15,4.6,16,2.58,6.58,3.48,1262.0,0,34
1,4,29.66,51.56,59,4.9,15,4.5,16,2.94,5.12,2.81,1262.0,0,29
1,80,26.84,53.82,7,4.8,39,5.0,20,18.43,15.76,16.39,617.0,0,15
1,108,29.39,51.34,7,4.6,16,5.2,20,5.25,10.21,5.53,1262.0,0,39
1,16,37.47,57.47,41,4.7,46,4.7,12,10.31,17.8,6.45,784.5901639344262,1,11
1,123,30.15,57.48,9,4.4,47,6.1,12,17.16,31.66,13.76,784.5901639344262,1,38
1,125,30.06,57.56,9,4.5,18,5.0,7,4.82,5.39,3.24,784.5901639344262,1,83
1,11,37.38,57.51,38,4.9,38,5.2,8,7.67,11.78,7.41,784.5901639344262,1,28
1,227,31.89,50.83,11,5.0,16,4.9,18,4.88,5.55,7.26,784.5901639344262,1,101
1,12,33.99,48.41,26,4.1,33,5.6,38,8.44,15.04,13.93,784.5901639344262,1,48
4,1,35.57,52.62,56,4.2,11,4.9,16,3.77,4.99,4.13,776.0,1,75
1,75,29.99,57.63,34,5.4,31,5.2,22,12.97,18.09,9.71,604.0,1,19
1,11,30.01,57.58,128,4.3,18,4.9,18,18.16,20.38,24.25,155.0,1,32
2,14,36.7,49.86,42,4.3,39,5.2,16,17.86,23.73,17.09,514.0,1,30
2,24,35.4,58.48,57,5.5,33,4.8,14,12.47,14.97,9.46,784.5901639344262,1,51
1,13,27.3,52.95,29,4.8,23,5.0,18,11.62,13.51,12.28,853.0,1,47
1,23,30.0,57.67,14,4.0,10,4.2,10,1.6,3.78,2.67,784.5901639344262,1,274
1,85,27.48,56.24,18,4.9,17,5.5,10,4.76,7.99,5.74,898.0,0,154
2,19,30.47,50.48,25,5.0,10,4.8,12,2.46,4.42,1.94,1564.0,1,56
1,11,27.95,55.93,27,5.1,8,4.4,4,1.67,2.53,0.67,894.0,0,57
1,11,27.81,57.45,39,5.0,18,4.8,12,6.63,9.4,10.01,784.5901639344262,1,227
7,15,32.55,47.93,65,5.6,30,5.2,16,9.57,13.39,12.14,643.0,1,73
6,40,32.74,47.71,4,4.8,16,4.4,14,2.6,5.36,5.71,1477.0,0,46
3,25,32.7,47.82,64,5.8,17,4.7,10,10.49,8.87,9.24,784.5901639344262,1,134
37,14,32.62,47.67,87,6.0,17,4.7,10,7.21,8.23,9.29,784.5901639344262,1,112
37,15,32.72,47.7,52,5.8,18,4.9,16,4.14,5.52,4.59,919.0,1,74
37,17,32.64,47.64,36,4.5,20,5.4,18,4.51,6.43,6.43,1397.0,1,143
37,81,32.76,47.54,13,5.4,17,5.0,9,8.53913580246914,10.849135802469135,8.820740740740739,784.5901639344262,1,53
37,17,32.53,47.79,78,5.9,15,5.6,32,10.92,7.88,10.02,398.0,1,35
4,15,29.71,50.97,41,5.3,7,5.2,9,1.91,3.23,1.87,784.5901639344262,1,419
