AAPL,MSI,SBUX
67.8542,60.3,28.185
68.5614,60.9,28.07
66.8428,60.83,28.13
66.7156,60.81,27.915
66.6556,61.12,27.775
65.7371,61.43,27.17
65.7128,62.03,27.225
64.1214,61.26,26.655
63.7228,60.88,26.675
64.4014,61.9,27.085
63.2571,60.28,26.605
64.1385,60.63,26.64
63.5099,62.09,27.285
63.0571,62.21,27.425
61.4957,62.03,27.435
60.0071,62.5,27.85
61.5919,62.97,28.255
60.8088,63.11,28.55
61.5117,62.64,29.125
61.6742,62.75,29.335
62.5528,62.56,29.305
61.2042,62.13,29.14
61.1928,62.22,29.2925
61.7857,62.34,28.84
63.3799,62.07,28.83
65.1028,61.64,28.465
64.9271,61.67,28.415
64.5828,62.4,28.715
64.6756,62.43,28.525
65.9871,63.61,28.69
66.2256,63.29,28.345
65.8765,63.46,28.525
64.5828,63.56,28.455
63.2371,64.03,28.475
61.2728,63.7,28.435
61.3988,63.7,29.13
61.7128,62.8,28.85
61.1028,62.99,29.055
60.4571,62.67,28.9
60.8871,63.17,29.06
60.9971,63.64,28.705
62.2414,64.69,28.9
62.0471,64.63,29.2875
61.3999,63.87,29.545
59.9785,61.83,28.855
60.8914,62.96,29.28
57.5428,62.13,29.085
56.0071,61.15,28.86
55.7899,61.72,29.2025
56.9528,61.78,29.32
58.0185,61.75,29.695
57.9231,56.02,29.915
58.3399,56.39,30.25
59.6007,56.8,30.0
61.4457,57.44,30.29
63.2542,57.2,30.42
62.7557,56.37,30.07
63.6457,56.89,30.19
64.2828,57.29,30.935
65.8156,56.95,31.24
65.5225,56.79,31.095
66.2628,57.0,31.205
65.2528,56.78,31.18
64.7099,56.48,31.5485
64.9628,56.17,31.41
63.4085,56.89,31.76
61.2642,57.1,32.035
62.0825,57.53,31.775
61.8942,57.84,32.065
63.2757,58.25,31.915
62.8085,57.77,32.125
63.0505,57.3,32.075
63.1628,57.48,31.76
63.5928,57.81,31.68
63.0627,58.53,32.13
63.5642,58.32,31.815
64.5114,58.54,31.735
64.2478,57.96,31.57
64.3885,57.83,31.73
64.1871,57.41,31.665
63.5871,56.27,31.17
62.6371,56.92,31.51
63.1158,56.94,32.52
62.6985,56.61,33.055
62.5142,56.38,32.71
61.7414,56.26,32.225
62.2807,57.19,32.985
61.4357,56.93,32.8
61.7142,57.33,33.015
61.6814,57.35,33.5475
60.4285,56.78,33.205
59.5482,55.5,32.61
59.0714,55.82,32.345
57.5057,55.59,32.005
57.5185,56.35,32.37
56.8671,57.49,32.9
56.2542,57.84,32.845
56.6471,57.73,32.755
58.4599,57.98,33.12
59.7842,57.49,33.395
60.1142,57.26,33.65
59.6314,57.93,33.86
59.2928,57.86,34.145
60.3357,58.03,34.065
60.1042,58.43,34.05
61.0411,59.05,34.67
60.9299,59.54,34.86
61.0628,59.17,34.83
61.4564,59.32,34.76
61.4728,59.42,34.1
61.6797,59.36,34.24
60.7071,59.85,34.395
